City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Puerto Ayora,EC,82.4,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
6,Sao Jose Da Coroa Grande,BR,79.23,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
7,Sibolga,ID,75.24,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
11,Lorengau,PG,80.8,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
17,Rikitea,PF,75.87,light rain,-23.1203,-134.9692,Pension Maro'i
19,Pyapon,MM,75.72,scattered clouds,16.2833,95.6833,Aung Naing Thu Motel
21,Ahuimanu,US,80.6,light rain,21.4447,-157.8378,Paradise Bay Resort
29,Alto Araguaia,BR,76.86,overcast clouds,-17.3147,-53.2153,Araguaia Palace Hotel
33,Hobyo,SO,82.11,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
35,Victoria,HK,80.01,clear sky,22.2855,114.1577,Mini Hotel Central
44,Namibe,AO,77.68,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
46,Hithadhoo,MV,83.46,broken clouds,-0.6,73.0833,Scoop Guest House
50,Cassilandia,BR,80.71,broken clouds,-19.1133,-51.7342,Delirius Motel
53,Dondo,MZ,77.0,clear sky,-19.6094,34.7431,Arco Iris
55,Sabang,ID,82.29,overcast clouds,5.8933,95.3214,Hotel Citra
71,Saint-Joseph,RE,77.0,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
73,Karratha,AU,81.3,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
75,Carnarvon,AU,77.0,clear sky,-24.8667,113.6333,Hospitality Carnarvon
77,Kendari,ID,76.01,overcast clouds,-3.945,122.4989,Hotel Wixel
81,Pandan,PH,78.53,few clouds,14.0453,124.1694,Bonifacio Lodge
83,Butaritari,KI,82.99,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
86,Luwuk,ID,78.82,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
87,Vanimo,PG,76.98,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
96,Meadow Lake,US,81.0,scattered clouds,34.8014,-106.5436,JKL Inc. R.V Park and Storage
99,Atuona,PF,80.69,overcast clouds,-9.8,-139.0333,Villa Enata
102,Vaini,TO,75.2,light rain,-21.2,-175.2,Keleti Beach Resort
104,Banikoara,BJ,83.21,few clouds,11.2985,2.4386,Hôtel de l'UCom CVPC
109,Saint-Philippe,RE,77.0,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
114,Nova Soure,BR,78.87,light rain,-11.2333,-38.4833,Branca Hotel
117,Avarua,CK,84.2,few clouds,-21.2078,-159.775,Paradise Inn
122,Saint George,US,88.0,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
127,Bataipora,BR,77.86,overcast clouds,-22.2953,-53.2711,Hotel Vale do Ivinhema
129,Kahului,US,78.8,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
131,Tautira,PF,86.0,light rain,-17.7333,-149.15,Pension Oaoa
135,Touros,BR,75.2,mist,-5.1989,-35.4608,INN NEW HORIZON
137,Souillac,MU,78.8,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
141,Bathsheba,BB,80.6,scattered clouds,13.2167,-59.5167,Atlantis Hotel
143,Manali,IN,82.4,mist,13.1667,80.2667,Sarathy Lodge
146,Itarema,BR,80.02,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
150,Taganak,PH,78.8,scattered clouds,6.0833,118.3,Taganak
159,Comodoro Rivadavia,AR,75.2,clear sky,-45.8667,-67.5,Austral Hotel
160,San-Pedro,CI,79.32,few clouds,4.7485,-6.6363,Hotel Maria
162,Cabo San Lucas,MX,87.8,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
163,Trincomalee,LK,78.62,scattered clouds,8.5711,81.2335,Welcombe Hotel
182,Kapaa,US,78.8,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
185,Bismarck,US,78.8,clear sky,46.8083,-100.7837,Ramkota Hotel & Conference Center
188,Guiglo,CI,76.6,broken clouds,6.5456,-7.4966,Hotel GBAOLY 2
192,Champerico,GT,87.8,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
194,Xalpatlahuac,MX,83.75,clear sky,17.4667,-98.6167,Hotel Villarreal
199,Guadalajara,MX,88.0,scattered clouds,20.6667,-103.3333,Hotel Aranzazú
201,Manggar,ID,78.64,broken clouds,-2.8833,108.2667,Guest Hotel
205,Bengkulu,ID,77.94,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
216,Bom Jesus,BR,80.11,broken clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
217,Kokopo,PG,81.55,light rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
222,Mersing,MY,77.0,broken clouds,2.4312,103.8405,Timotel Hotel
224,Harsud,IN,81.75,clear sky,22.1,76.7333,Tortoise Tapu (Anay)
226,Tabou,CI,78.94,few clouds,4.423,-7.3528,hotêl doufoulougou
229,Los Banos,PH,79.0,few clouds,14.1667,121.1833,Sol Y Viento Mountain Hot Springs and Resort
231,Roebourne,AU,81.39,broken clouds,-20.7833,117.1333,Harding River Caravan Park
232,Georgetown,MY,81.0,light rain,5.4112,100.3354,Cititel Penang
233,Sinnamary,GF,77.38,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
234,Winton,US,75.2,clear sky,37.3894,-120.6133,Applegate Inn
239,Alofi,NU,84.2,overcast clouds,-19.0595,-169.9187,Taloa Heights
243,Chino Valley,US,82.99,clear sky,34.7575,-112.4538,Primrose Inn & Suites
246,Conceicao Do Araguaia,BR,78.03,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
249,Grand Gaube,MU,79.0,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
250,Mayumba,GA,78.44,moderate rain,-3.432,10.6554,LIKWALE LODGE
253,Laguna De Perlas,NI,84.2,scattered clouds,12.3429,-83.6712,Hotel Best View
257,Kavieng,PG,82.27,light rain,-2.5744,150.7967,Nusa Island Retreat
259,Quatre Cocos,MU,79.0,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
263,Pochutla,MX,89.29,clear sky,15.7432,-96.4661,Hotel Posada San Jose
265,Makakilo City,US,80.6,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
273,Monrovia,LR,78.8,mist,6.3005,-10.7969,Sunset Inn
279,Aden,YE,80.73,broken clouds,12.7794,45.0367,Sama Emirate Hotel
281,Salalah,OM,78.8,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
283,Palmas,BR,87.8,few clouds,-10.2128,-48.3603,Hotel Lago da Palma
287,Belmonte,BR,77.0,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
288,Olinda,BR,78.8,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
298,Tepechitlan,MX,80.24,overcast clouds,21.6667,-103.3333,Hotel de León
299,Kalmunai,LK,78.73,broken clouds,7.4167,81.8167,VS Villa
300,Bull Savanna,JM,78.4,broken clouds,17.8868,-77.5902,Big Red's
301,Gigmoto,PH,79.25,broken clouds,13.7796,124.39,Cj's Travellers Inn
302,Cabul-An,PH,77.0,scattered clouds,10.15,124.05,Pandanon floating cottage
304,Porto Novo,BJ,84.2,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
305,Banda Aceh,ID,79.47,overcast clouds,5.5577,95.3222,Sulthan Hotel International
306,Salina Cruz,MX,87.6,clear sky,16.1667,-95.2,Amerik HOTEL
312,Faanui,PF,81.63,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
316,Nizwa,OM,78.96,clear sky,22.9333,57.5333,Orient Apartments
319,Salinopolis,BR,76.53,light rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
320,Poum,NC,79.95,overcast clouds,-20.2333,164.0167,Gîte kajeon
324,Mana,GF,77.31,overcast clouds,5.6592,-53.7767,LE SAMANA
