City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,-46.1927,168.8643,66.0,62,31,13.0,scattered clouds
1,Lagoa,PT,39.05,-27.9833,60.01,87,95,30.89,overcast clouds
2,Jamestown,US,42.097,-79.2353,48.0,23,90,14.97,overcast clouds
3,Puerto Ayora,EC,-0.7393,-90.3518,82.4,74,20,9.22,light rain
4,Urozhaynoye,RU,44.7883,44.9228,48.34,74,92,7.72,moderate rain
5,Medvedka,RU,61.1629,46.387,25.34,96,92,2.86,overcast clouds
6,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,79.23,83,17,8.34,few clouds
7,Sibolga,ID,1.7427,98.7792,75.24,94,100,9.06,overcast clouds
8,Cidreira,BR,-30.1811,-50.2056,72.97,75,0,14.43,clear sky
9,Cherskiy,RU,68.75,161.3,-8.19,93,70,6.29,broken clouds
10,Vila Franca Do Campo,PT,37.7167,-25.4333,60.8,82,75,20.71,broken clouds
11,Lorengau,PG,-2.0226,147.2712,80.8,78,100,7.05,overcast clouds
12,Puerto Carreno,CO,6.189,-67.4859,91.35,46,66,5.91,broken clouds
13,Ushuaia,AR,-54.8,-68.3,39.2,81,40,20.71,scattered clouds
14,Nikolskoye,RU,59.7035,30.7861,35.01,80,0,4.47,light snow
15,Thompson,CA,55.7435,-97.8558,42.8,33,75,11.5,broken clouds
16,Pangnirtung,CA,66.1451,-65.7125,-2.13,85,2,3.67,clear sky
17,Rikitea,PF,-23.1203,-134.9692,75.87,70,37,14.9,light rain
18,Airai,TL,-8.9266,125.4092,60.17,97,100,5.19,light rain
19,Pyapon,MM,16.2833,95.6833,75.72,82,48,5.3,scattered clouds
20,East London,ZA,-33.0153,27.9116,63.41,76,89,13.2,overcast clouds
21,Ahuimanu,US,21.4447,-157.8378,80.6,69,75,17.27,light rain
22,Edson,CA,53.5835,-116.4356,44.6,57,1,10.36,clear sky
23,Severo-Kurilsk,RU,50.6789,156.125,34.65,94,100,24.74,light rain
24,Riyadh,SA,24.6877,46.7219,69.8,21,6,9.22,clear sky
25,Bredasdorp,ZA,-34.5322,20.0403,55.4,88,0,4.61,clear sky
26,Lebu,CL,-37.6167,-73.65,57.02,81,0,11.07,clear sky
27,Alta Floresta,BR,-9.8756,-56.0861,74.34,92,92,4.05,overcast clouds
28,Haimen,CN,23.1935,116.6142,71.6,88,75,11.18,broken clouds
29,Alto Araguaia,BR,-17.3147,-53.2153,76.86,65,88,2.75,overcast clouds
30,Ketchikan,US,55.3422,-131.6461,38.1,82,86,4.0,overcast clouds
31,Ilulissat,GL,69.2167,-51.1,5.0,66,40,6.91,scattered clouds
32,Khatanga,RU,71.9667,102.5,-31.79,96,7,3.83,clear sky
33,Hobyo,SO,5.3505,48.5268,82.11,73,6,13.35,clear sky
34,Ribeira Grande,PT,38.5167,-28.7,62.26,83,25,29.01,scattered clouds
35,Victoria,HK,22.2855,114.1577,80.01,81,9,3.13,clear sky
36,Tasiilaq,GL,65.6145,-37.6368,21.2,53,20,20.71,few clouds
37,High Level,CA,58.5169,-117.136,32.0,55,20,5.75,few clouds
38,Albany,US,42.6001,-73.9662,51.01,21,20,8.05,few clouds
39,Beringovskiy,RU,63.05,179.3167,2.52,86,100,20.11,overcast clouds
40,Punta Arenas,CL,-53.15,-70.9167,46.4,53,20,18.41,few clouds
41,Susurluk,TR,39.9136,28.1578,55.4,87,20,4.61,few clouds
